#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True
382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
493,Arceus,Normal,,720,120,120,120,120,120,120,4,True
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,False
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False
487,GiratinaOrigin Forme,Ghost,Dragon,680,150,120,100,120,100,90,4,True
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True
716,Xerneas,Fairy,,680,126,131,95,131,98,99,6,True
717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,True
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False
448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,False
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False
362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,False
641,TornadusTherian Forme,Flying,,580,79,100,80,110,90,121,5,True
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
